date,stage,world,camera,frame_ms,resolve_ms,build_ms,draw_ms,active,batches,tris,culled,hiz_culled
2026-07-05,stage4,StressForest50k,aerial,18.94,0.47,2.00,4.66,50000,0,1459470,1351,0
2026-07-05,stage4,StressForest50k,corner,17.47,0.83,3.95,5.54,50000,0,1198890,10051,0
2026-07-05,stage4,StressForest50k,midfield,16.67,0.40,2.08,3.99,50000,0,903120,19896,0
2026-07-05,stage4,StressForest50k,far,16.74,0.57,2.31,3.57,50000,0,1235364,8826,0
2026-07-05,stage4,StressForest50k,empty,16.67,0.48,2.04,1.17,50000,0,0,50000,0
2026-07-05,stage4,StressForest100k,aerial,22.84,0.84,3.83,10.16,100000,0,2917920,2736,0
2026-07-05,stage4,StressForest100k,corner,23.52,1.15,4.68,6.77,100000,0,2399912,20036,0
2026-07-05,stage4,StressForest100k,midfield,19.68,0.88,3.84,6.07,100000,0,1815720,39476,0
2026-07-05,stage4,StressForest100k,far,23.67,0.83,4.03,7.30,100000,0,2471850,17617,0
2026-07-05,stage4,StressForest100k,empty,16.71,0.87,4.28,1.81,100000,0,0,100000,0
2026-07-05,stage4,StressForest200k,aerial,44.97,1.75,17.52,15.96,200000,0,5832870,5571,0
2026-07-05,stage4,StressForest200k,corner,45.71,1.77,15.50,14.57,200000,0,4797300,40158,0
2026-07-05,stage4,StressForest200k,midfield,41.76,1.88,14.51,12.08,200000,0,3638880,78704,0
2026-07-05,stage4,StressForest200k,far,43.66,1.67,15.02,13.14,200000,0,4940052,35356,0
2026-07-05,stage4,StressForest200k,empty,28.97,1.61,14.82,2.46,200000,0,0,200000,0
2026-07-05,stage4,StressForest500k,aerial,131.39,20.89,55.81,33.48,500000,0,14573940,14202,0
2026-07-05,stage4,StressForest500k,corner,125.07,19.33,52.94,28.87,500000,0,11980300,100826,0
2026-07-05,stage4,StressForest500k,midfield,119.82,20.11,55.41,27.11,500000,0,9077940,197402,0
2026-07-05,stage4,StressForest500k,far,125.93,20.25,54.66,30.59,500000,0,12344646,88573,0
2026-07-05,stage4,StressForest500k,empty,87.81,21.11,57.30,4.76,500000,0,0,500000,0
